#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB611A
#Date Time: 2025-08-21 03:59:01.945.636.010
#Sample rate: 3.125e+06Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: -110 mV Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 50 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 4.9978243 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9953639597 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.002589792,0.03691617758596585,1.547681115548001
-0.002589472,0.03675903427093374,1.608985512515528
-0.002589152,0.03699474924348201,1.611690118264092
-0.002588832,0.03660189095590122,1.642342316747854
-0.002588512,0.03644474764086895,1.625213147006928
-0.002588192,0.03652331929838505,1.624311611757406
-0.002587872,0.0369161775859655,1.6324254290031
-0.002587552,0.03668046261341737,1.636031570001197
-0.002587232,0.03628760432583658,1.664880697985915
-0.002586912,0.03613046101080418,1.66938837423352
-0.002586592,0.0360518893532881,1.662176092237347
-0.002586272,0.0360518893532881,1.690123684972542
-0.002585952,0.03652331929838505,1.654062274991646
-0.002585632,0.03644474764086889,1.703646713715378
-0.002585312,0.03613046101080453,1.700942107966813
-0.002584992,0.03565903106570731,1.729791235951528
-0.002584672,0.03565903106570731,1.73069277120105
-0.002584352,0.03589474603825521,1.714465136709686
-0.002584032,0.03526617277812651,1.756837293437201
-0.002583712,0.03581617438073911,1.714465136709686
-0.002583392,0.03581617438073961,1.773966463178126
-0.002583072,0.03534474443564267,1.757738828686723
-0.002582752,0.03550188775067512,1.797406379665694
-0.002582432,0.03565903106570731,1.781178745174306
-0.002582112,0.03510902946309419,1.788391027170485
-0.002581792,0.03503045780557804,1.804618661661888
-0.002581472,0.03479474283302955,1.81273247890759
-0.002581152,0.03463759951799738,1.83527086014563
-0.002580832,0.03510902946309419,1.81273247890759
-0.002580512,0.03479474283302955,1.836172395395173
-0.002580192,0.03479474283302948,1.865021523379875
-0.002579872,0.0347161711755134,1.848793888888486
-0.002579552,0.03448045620296513,1.871332270126526
-0.002579232,0.03440188454544876,1.874036875875114
-0.002578912,0.03416616957290028,1.88395376361986
-0.002578592,0.03424474123041636,1.897476792362684
-0.002578272,0.03448045620296492,1.898378327612219
-0.002577952,0.03416616957290028,1.926325920347413
-0.002577632,0.03455902786048057,1.932636667094089
-0.002577312,0.03400902625786796,1.953371977833086
-0.002576992,0.03463759951799666,1.920015173600787
-0.002576672,0.0343233128879326,1.960584259829265
-0.002576352,0.0343233128879326,1.945258160587384
-0.002576032,0.03369473962780332,1.939848949090263
-0.002575712,0.03369473962780332,1.954273513082608
-0.002575392,0.03361616797028716,1.968698077074967
-0.002575072,0.03330188134022252,1.994842599311117
-0.002574752,0.03455902786048107,1.972304218073057
-0.002574432,0.03322330968270758,2.003857951806312
-0.002574112,0.03330188134022252,2.028199403543446
-0.002573792,0.03361616797028716,2.016479445299654
-0.002573472,0.03338045299773883,2.027297868293937
-0.002573152,0.03353759631277101,2.042623967535805
-0.002572832,0.03338045299773883,2.040820897036761
-0.002572512,0.03322330968270637,2.051639320031029
-0.002572192,0.03283045139512558,2.048033179032939
-0.002571872,0.03314473802518957,2.066965419272939
-0.002571552,0.03243759310754478,2.099420688255716
-0.002571232,0.03267330808009325,2.081389983265268
-0.002570912,0.03220187813499631,2.102125294004284
-0.002570592,0.0325947364225771,2.097617617756672
-0.002570272,0.03220187813499666,2.118352928495668
-0.002569952,0.03275187973760942,2.11204218174903
-0.002569632,0.0325947364225771,2.11925446374521
-0.002569312,0.03196616316244875,2.165232761470815
-0.002568992,0.03298759471015789,2.124663675242344
-0.002568672,0.03235902145002918,2.165232761470815
-0.002568352,0.03235902145002861,2.161626620472763
-0.002568032,0.03196616316244782,2.163429690971808
-0.002567712,0.03180901984741565,2.177854254964153
-0.002567392,0.03212330647748014,2.173346578716554
-0.002567072,0.03157330487486704,2.201294171451749
-0.002566752,0.03228044979251153,2.191377283707008
-0.002566432,0.0312590182448024,2.197688030453659
-0.002566112,0.03102330327225413,2.236454046183088
-0.002565792,0.03102330327225392,2.240060187181212
-0.002565472,0.03173044818989934,2.234650975684078
-0.002565152,0.03070901664218978,2.267106244666866
-0.002564832,0.0312590182448024,2.246370933927869
-0.002564512,0.03102330327225392,2.258992427421183
-0.002564192,0.03055187332715696,2.286038484906855
-0.002563872,0.03063044498467313,2.286038484906855
-0.002563552,0.03023758669709268,2.277023132411639
-0.002563232,0.03023758669709233,2.301364584148736
-0.002562912,0.03000187172454385,2.293250766903034
-0.002562592,0.02968758509447936,2.31218300714299
-0.002562272,0.02984472840951152,2.295955372651602
-0.002561952,0.03031615835460806,2.309478401394426
-0.002561632,0.0304733016696408,2.324804500636319
-0.002561312,0.02960901343696305,2.361767445866738
-0.002560992,0.02898044017683392,2.358161304868656
-0.002560672,0.0291375834918661,2.367176657363872
-0.002560352,0.02945187012193073,2.36266898111626
-0.002560032,0.02953044177944681,2.386108897603846
-0.002559712,0.02945187012193073,2.389715038601933
-0.002559392,0.02866615354676986,2.396025785348583
-0.002559072,0.02937329846441458,2.408647278841903
-0.002558752,0.02890186851931761,2.44110254782471
